Word,Reading,Meaning,JLPT,Word Type,Example Sentence JP,Example Sentence EN
水,みず,water,N5,Noun,水をくれ！,Give me water!
店,みせ,"store, shop",N5,Noun,店内で。,"For here, please."
見せる,みせる,"to show, to display",N5,Ichidan verb,喜怒哀楽を見せるな。,Don't let your feelings show.
道,みち,"road, street; way, directions",N5,Noun,一人より一緒のほうが楽しい。,It's more fun with company.
三日,みっか,"three days, third day of the month",N5,Noun,切符は三日間有効だ。,The ticket holds good for three days.
三つ,みっつ,three things,N5,Numeric,子供のころの性格は変わらない。,A person's nature rarely changes.
緑,みどり,green,N5,Noun,緑茶飲む？,Do you drink green tea?
皆さん,みなさん,"all of you, everyone",N5,Noun,皆さんはお元気？,How is everyone?
南,みなみ,South,N5,Noun,南駅はどこですか？,Where is the South Station?
耳,みみ,ear,N5,Noun,初耳だ。,That's news to me.
見る,みる,"to see, to look",N5,Ichidan verb,この番組見る？,Do you want to watch this program?
みんな,みんな,"all, everyone, everybody",N5,Noun,みんな嫌い。,I don't like any of them.
六日,むいか,six days; sixth day of month,N5,Noun,トムは、六日間だけ迷子の犬を預かることにしました。,Tom only looked after the stray for 6 days.
向こう,むこう,"beyond, over there",N5,Noun,向こうへ行け！,Get away!
難しい,むずかしい,difficult,N5,I-adjective (keiyoushi),難しいわ。,It's so hard.
六つ,むっつ,six things,N5,Numeric,一つ、二つ、三つ、四つ、五つ、六つ、七つ、八つ、九つ、十。,"One, two, three, four, five, six, seven, eight, nine, ten."
村,むら,village,N5,Noun,この村は何ていうの？,What's the name of this village?
目,め,eye(s),N5,Noun,目が痛い！,My eyes hurt!
メートル,メートル,meter,N5,Noun,"1,000mは1kmです。",A thousand meters is one kilometer.
眼鏡,めがね,eye glasses,N5,Noun,私の眼鏡はどこ？,Where are my glasses?
もう,もう,already; again; more,N5,Adverb (fukushi),もう。,Not again.
木曜日,もくようび,Thursday,N5,Noun,今日は木曜日です。,Today is Thursday.
もしもし,もしもし,Hello? (used on the phone),N5,Interjection,もしもし、田中さんですか？,"Hello, is this Tanaka-san?"
持つ,もつ,"to hold, to carry; to possess",N5,Godan verb with 'tsu' ending,それ持つよ。,Let me carry that for you.
もっと,もっと,more,N5,Adverb (fukushi),もっと見たい？,Do you want to see more?
物,もの,thing (concrete object),N5,Noun,食べ物！,Food!
門,もん,gate,N5,Noun,門限何時？,What time is your curfew?
問題,もんだい,a problem,N5,Noun,問題なし。,No problem.
～屋,～や,~ shop,N5,Noun,餅は餅屋。,Every man for his own trade.
八百屋,やおや,greengrocer,N5,Noun,果物や野菜は八百屋で買ってるよ。,I buy my fruits and vegetables at the greengrocer's.
野菜,やさい,vegetable,N5,Noun,野菜を食べたら？,Why don't you eat some vegetables?
易しい,やさしい,"easy, plain, simple",N5,I-adjective (keiyoushi),その本は易しい。,The book is easy.
安い,やすい,inexpensive; cheap (things),N5,I-adjective (keiyoushi),安いね。,"That's cheap, isn't it?"
休み,やすみ,holiday; day off; absence,N5,Noun,休みたい。,I want to rest.
休む,やすむ,"to rest, to have a break, to get time off",N5,Godan verb with 'mu' ending,年中無休です。,It's open every day of the year.
八つ,やっつ,eight things,N5,Numeric,彼女は八つだ。,She is eight.
山,やま,mountain,N5,Noun,山国です。,It's a very mountainous country.
やる,やる,"to do; to give (to pets, parents, siblings, etc.)",N5,Godan verb with 'ru' ending,やるよ。,I'll do it.
夕方,ゆうがた,"late afternoon (typically just before dinner time), evening",N5,Noun,夕方の五時です。,It's five in the evening.
夕飯,ゆうはん,"dinner, supper, evening meal",N5,Noun,夕飯いつ？,When's dinner?
郵便局,ゆうびんきょく,post office,N5,Noun,郵便局に行くの？,Are you going to the post office?
昨夜,ゆうべ,last night,N5,Noun,昨夜はごめん。,I'm sorry about last night.
有名,ゆうめい,famous,N5,Na-adjective (keiyodoshi),有名な曲よ。,It's a famous song.
雪,ゆき,snow,N5,Noun,あ、雪だ！,Ah! Snow!
ゆっくりと,ゆっくりと,"slowly, at ease",N5,Adverb (fukushi),ゆっくりと急げ。,Hurry slowly.
八日,ようか,eight days; eighth day of the month,N5,Noun,日本では、八月八日はヒゲの日です。,August 8th is Beard Day in Japan.
洋服,ようふく,Western-style clothes,N5,Noun,お洋服着ましょうね。,Let's get you dressed.
よく,よく,"frequently, often (much); well, skillfully",N5,Adverb (fukushi),よく寝た？,Did you sleep well?
横,よこ,beside; side; width,N5,Noun,横に座って。,Sit beside me.
四日,よっか,four days; fourth day of the month,N5,Noun,雨は四日間降り続いた。,The rain lasted four days.
四つ,よっつ,four things,N5,Numeric,見て！四つ葉！,Look! A four-leafed clover!
呼ぶ,よぶ,to call (one's name); to invite,N5,Godan verb with 'bu' ending,警察を呼ぶ気？,Are you going to call the police?
読む,よむ,to read,N5,Godan verb with 'mu' ending,そんな本読むな。,Do not read such a book.
夜,よる,"evening, night",N5,Noun,夜です。,It's night.
弱い,よわい,weak,N5,I-adjective (keiyoushi),トムは弱い。,Tom's weak.
来月,らいげつ,next month,N5,Noun,再来月は１２月だ。,The month after next is December.
来週,らいしゅう,next week,N5,Noun,また来週！,See you next week!
来年,らいねん,next year,N5,Noun,来年は卯年だ。,Next year is the year of the rabbit.
ラジオ,ラジオ,radio,N5,Noun,ラジオ、切った？,Did you turn off the radio?
ラジオカセ,ラジオカセ,radio cassette player,N5,Noun,ラジオカセで音楽を聞きます。,I listen to music on the radio cassette player.
りっぱ,りっぱ,"splendid, fine",N5,Na-adjective (keiyodoshi),立派ですね。,It's magnificent.
留学生,りゅうがくせい,international student,N5,Noun,留学生の方ですか？,Are you an exchange student?
両親,りょうしん,"parents (lit., both parents)",N5,Noun,両親が離婚した。,My parents got divorced.
料理,りょうり,cooking; cuisine,N5,Noun,料理は得意？,Are you a good cook?
旅行,りょこう,"travel, trip",N5,Noun,旅行は好き？,Do you like to travel?
零,れい,"zero, nought",N5,Noun,今は零下１０度だ。,It is ten degrees below zero now.
冷蔵庫,れいぞうこ,refrigerator,N5,Noun,冷蔵庫、空っぽ！,The fridge is empty!
レコード,レコード,record,N5,Noun,昨晩はレコードを聴きました。,I listened to some records last night.
レストラン,レストラン,restaurant,N5,Noun,レストランはどこですか？,Where is the restaurant?
練習,れんしゅう (する),(to) practice,N5,Noun,練習は熟達の道。,Practice makes perfect.
廊下,ろうか,corridor,N5,Noun,廊下に箱がある。,There’s a box in the hall.
六,ろく,six,N5,Numeric,六十の手習い。,It is never too late to learn.
ワイシャツ,ワイシャツ,"shirt (lit: white shirt), business shirt",N5,Noun,俺の白のワイシャツ、どこ？,Where's my white dress shirt?
若い,わかい,young,N5,I-adjective (keiyoushi),僕は若い。,I'm young.
分かる,わかる,to understand,N5,Godan verb with 'ru' ending,分かる。,I understand.
忘れる,わすれる,to forget,N5,Ichidan verb,死を忘れないで。,Don't forget about death.
私,わたし,"I, myself",N5,Pronoun,私よ！,It's me!
私,わたくし,"I (formal), myself, private affairs",N5,Pronoun,私よ！,It's me!
渡す,わたす,to hand (something) over (v.t.); to get across,N5,Godan verb with 'su' ending,君に渡す物がある。,I have something to give you.
渡る,わたる,"to cross over, to go across",N5,Godan verb with 'ru' ending,この橋を渡るの？,Are we going to cross this bridge?
悪い,わるい,"bad, sinful; inferior",N5,I-adjective (keiyoushi),いけない子ね！,You're being naughty!
